class x1 y1 x2 y2 id file_number
15 0.680734 0.427594 0.206246 0.20555 2 2
15 0.678311 0.427307 0.20098 0.204316 2 4
15 0.67572 0.427411 0.196743 0.20429 2 6
15 0.672959 0.42793 0.190414 0.204245 2 8
15 0.673528 0.428592 0.190978 0.202672 2 10
15 0.673603 0.429338 0.190769 0.200586 2 12
15 0.672568 0.429027 0.192204 0.201985 2 14
15 0.672623 0.429406 0.19342 0.202235 2 16
15 0.672325 0.428884 0.194419 0.203255 2 18
15 0.670728 0.43047 0.194939 0.200487 2 20
15 0.670596 0.429619 0.192394 0.201077 2 22
15 0.671406 0.429407 0.192127 0.201297 2 24
15 0.673451 0.42917 0.194841 0.201019 2 26
15 0.676275 0.429348 0.20163 0.201482 2 28
15 0.674348 0.429624 0.203978 0.201917 2 30
15 0.679876 0.429768 0.193081 0.201286 2 32
15 0.673485 0.429379 0.2036 0.201775 2 35
15 0.67657 0.429065 0.206559 0.202594 2 37
15 0.68437 0.430171 0.211072 0.201516 2 39
15 0.691886 0.435435 0.217844 0.193839 2 41
15 0.694327 0.435957 0.222543 0.189809 2 43
15 0.692007 0.436794 0.217685 0.190253 2 45
15 0.686182 0.434783 0.207671 0.194957 2 47
15 0.683792 0.433606 0.206573 0.194607 2 49
15 0.682098 0.433085 0.204473 0.195267 2 51
15 0.683117 0.432611 0.207431 0.195988 2 53
15 0.682445 0.432918 0.20693 0.195216 2 55
15 0.683383 0.432269 0.206493 0.196622 2 57
15 0.681638 0.433061 0.204631 0.194632 2 59
15 0.680873 0.432697 0.203483 0.195111 2 61
15 0.675156 0.432301 0.192756 0.195365 2 63
15 0.666983 0.431768 0.176425 0.196001 2 65
15 0.669838 0.432133 0.170902 0.196027 2 67
15 0.670193 0.43212 0.164079 0.195734 2 69
15 0.668961 0.432201 0.165623 0.197052 2 71
15 0.667464 0.432042 0.162913 0.197602 2 73
15 0.668949 0.431634 0.163381 0.196144 2 75
15 0.672624 0.430858 0.160269 0.19769 2 77
15 0.674856 0.430739 0.158272 0.19793 2 79
15 0.672175 0.431416 0.164618 0.196773 2 81
15 0.673333 0.4303 0.161426 0.199888 2 83
15 0.664316 0.432354 0.161735 0.195825 2 88
15 0.663636 0.433936 0.166335 0.193939 2 90
15 0.662907 0.432976 0.169553 0.194591 2 92
15 0.660228 0.433303 0.171071 0.194974 2 94
15 0.660988 0.432602 0.175674 0.195128 2 96
15 0.661804 0.432841 0.175807 0.194368 2 98
15 0.673461 0.431352 0.199561 0.199339 2 100
15 0.67507 0.431065 0.201141 0.199765 2 102
15 0.684922 0.430291 0.202729 0.20115 2 104
15 0.683426 0.430154 0.199236 0.201264 2 106
15 0.683589 0.431373 0.200239 0.199884 2 108
15 0.686094 0.431066 0.204713 0.199308 2 110
15 0.680336 0.432748 0.208069 0.197579 2 112
15 0.681643 0.431241 0.207937 0.198963 2 114
15 0.682192 0.430764 0.210551 0.199591 2 116
15 0.681501 0.430988 0.209492 0.199135 2 118
15 0.679643 0.430722 0.206056 0.199141 2 120
15 0.678554 0.431069 0.200456 0.198538 2 122
15 0.688182 0.434189 0.208731 0.193247 2 124
15 0.693278 0.4376 0.219917 0.190161 2 126
15 0.692821 0.437719 0.223992 0.189221 2 128
15 0.688983 0.435514 0.210356 0.18961 2 130
15 0.686972 0.4376 0.208148 0.189657 2 132
15 0.68763 0.437561 0.208265 0.189696 2 134
15 0.686949 0.437406 0.207777 0.190259 2 136
15 0.68222 0.435676 0.198007 0.19006 2 138
15 0.680829 0.435332 0.195675 0.190375 2 140
15 0.680058 0.434482 0.200812 0.191898 2 142
15 0.679809 0.434695 0.199583 0.192313 2 144
15 0.680008 0.434491 0.198885 0.192689 2 146
15 0.680891 0.434113 0.201913 0.193365 2 148
15 0.677924 0.434999 0.198117 0.193815 2 150
15 0.676608 0.433397 0.196041 0.193987 2 152
15 0.676905 0.432815 0.193114 0.19389 2 154
15 0.672961 0.434204 0.188268 0.194021 2 156
