class id file_number color1 color2 color3 color4 color5 breed
15 1 2      Siamese
15 1 4      "British Shorthair"
15 1 5      "British Shorthair"
15 1 6      Siamese
15 1 7      Bengal
15 1 8      Siamese
15 1 9      Sphynx
15 1 10      Siamese
15 1 11      Bengal
15 1 12      Siamese
15 1 13 dimgray darkslategray darkslategray rosybrown black Siamese
15 1 14 dimgray darkslategray black rosybrown black Sphynx
15 1 15 dimgray rosybrown darkslategray black black Siamese
15 1 16 dimgray rosybrown darkslategray black darkslategray Sphynx
15 1 17 dimgray rosybrown darkslategray black darkslategray "British Shorthair"
15 1 18 dimgray rosybrown darkslategray black darkslategray Sphynx
15 1 19 darkgray dimgray black darkslategray black Bengal
15 1 20 darkgray dimgray black darkslategray black Sphynx
15 1 21 tan dimgray darkslategray black darkslategray Sphynx
15 1 22 gray tan darkolivegreen darkslategray black Sphynx
15 1 23 gray silver dimgray darkslategray black Bengal
15 1 24 gray silver dimgray darkslategray black Bengal
15 1 25 gray lightgray dimgray darkslategray black Bengal
15 1 26 gray lightgray dimgray darkslategray black Bengal
15 1 27 gray dimgray lightgray darkslategray black Bengal
15 1 28 gray dimgray black darkslategray lightgray Bengal
15 1 29 darkgray dimgray black darkslategray lightgray Bengal
15 1 30 darkgray gray darkolivegreen lightgray black Bengal
15 1 31 silver dimgray black darkolivegreen darkgray Siamese
15 1 32 dimgray darkolivegreen silver black darkgray Siamese
15 1 33 dimgray silver darkolivegreen black darkgray Ragdoll
15 1 34      Sphynx
15 1 35 gray black darkolivegreen silver darkgray "British Shorthair"
15 1 36      Siamese
15 1 37 darkslategray gray darkolivegreen silver darkgray Bengal
15 1 38      "Egyptian Mau"
15 1 39 darkslategray dimgray darkgray silver darkslategray Siamese
15 1 40 gray black darkgray silver darkslategray Birman
15 1 41 dimgray darkgray silver black darkslategray Ragdoll
15 1 42 dimgray darkgray silver darkslategray black Ragdoll
15 1 43 dimgray silver darkgray darkslategray black Ragdoll
15 1 44 dimgray silver darkgray darkslategray black Ragdoll
15 1 45 gray silver darkslategray darkgray black Ragdoll
15 1 46 dimgray gray darkslategray black silver Ragdoll
15 1 47 darkgray dimgray darkslategray silver black Ragdoll
15 1 48 dimgray gray black darkslategray silver Bengal
15 1 49 black dimgray silver darkslategray darkgray Birman
15 1 50 black dimgray lightslategray darkslategray darkgray Birman
15 1 51 dimgray rosybrown silver darkslategray black Sphynx
15 1 52 gray silver dimgray darkslategray black Bengal
15 1 53      "Maine Coon"
15 1 54 gray silver black dimgray darkslategray Ragdoll
15 1 55      Ragdoll
15 1 56 dimgray darkgray gray darkslategray black "Maine Coon"
15 1 57      Siamese
15 1 58      Siamese
15 1 59 black dimgray darkgray darkslategray gray Siamese
15 1 60 darkslategray darkslategray dimgray darkgray gray "British Shorthair"
15 1 61 darkslategray dimgray darkslategray gray darkgray "British Shorthair"
15 1 62 dimgray darkslategray darkslategray darkgray gray Birman
15 1 63 dimgray black darkgray darkslategray gray Birman
15 1 64 dimgray black silver gray darkslategray Ragdoll
15 1 65 dimgray silver gray darkslategray black Birman
15 1 66 dimgray darkslategray gray darkgray black Birman
15 1 67 gray dimgray darkgray darkslategray black Ragdoll
15 1 68 dimgray gray black darkgray darkslategray Bengal
15 1 69 black dimgray darkgray darkslategray gray Ragdoll
15 1 70 gray dimgray darkgray darkslategray black "British Shorthair"
15 1 71 dimgray darkgray gray darkslategray black Siamese
15 1 72 gray darkgray dimgray black darkslategray Birman
15 1 73      Siamese
15 1 74 gray dimgray darkgray darkslategray black Siamese
15 1 75 darkgray gray dimgray black darkslategray "British Shorthair"
15 1 76 gray darkgray dimgray darkslategray black Siamese
15 1 77 gray dimgray darkgray black darkslategray Siamese
15 1 78 dimgray black gray darkgray darkslategray Birman
15 1 79 black dimgray darkgray gray darkslategray Siamese
15 1 80 darkslategray dimgray darkslategray darkgray gray Siamese
15 1 81 black dimgray darkgray darkslategray gray Siamese
15 1 82 darkslategray dimgray gray darkgray darkslategray Siamese
15 1 83 dimgray darkgray gray darkslategray darkslategray Siamese
15 1 84 darkgray gray black dimgray darkslategray Siamese
15 1 85 darkgray black gray dimgray darkslategray Siamese
15 1 86      Siamese
15 1 87      Bengal
15 1 88      Bengal
15 1 89      Siamese
15 1 90 darkgray black dimgray gray darkslategray Siamese
15 1 91      Sphynx
15 1 92 rosybrown dimgray gray black darkslategray Siamese
15 1 93 gray rosybrown dimgray black darkslategray Siamese
15 1 94 darkgray gray dimgray black darkslategray Birman
15 1 95 rosybrown black darkslategray gray dimgray "British Shorthair"
15 1 96      Siamese
15 1 97 black darkgray darkslategray gray dimgray Siamese
15 1 98 black darkgray darkslategray gray dimgray Siamese
15 1 99 black darkgray darkslategray gray dimgray Siamese
15 1 100 darkgray black darkslategray dimgray gray Siamese
15 1 101 darkgray black darkslategray dimgray gray Siamese
15 1 102 darkgray darkslategray black dimgray gray "Maine Coon"
15 1 103 darkslategray darkgray black dimgray gray Siamese
15 1 104 darkgray darkslategray black dimgray gray "British Shorthair"
15 1 105 darkgray black darkslategray dimgray gray "British Shorthair"
15 1 106 darkgray black darkslategray dimgray gray Siamese
15 1 107 darkslategray black darkgray dimgray gray Birman
15 1 108 darkslategray darkgray black dimgray gray Siamese
15 1 109 darkgray darkslategray black dimgray gray "British Shorthair"
15 1 110 lightgray gray black darkslategray dimgray "British Shorthair"
15 1 111 bisque gray black darkslategray dimgray Birman
